ticker,date,open,high,low,close,volume,daily_return,volatility_5d,volatility_20d,cum_return
AAPL,2024-04-08,167.5055876867263,167.67405271305591,166.72271902070312,166.93081665039062,37425500,,,,
AAPL,2024-04-09,167.17853275073267,168.5460917055098,166.83169838821917,168.13978576660156,42373800,0.00724233631914073,,,0.00724233631914073
AAPL,2024-04-10,167.27763553824258,167.5650134431552,165.60287483124418,166.26683044433594,49709300,-0.011139275060487508,,,-0.003977613117686296
AAPL,2024-04-11,166.8217782077108,173.87757491447604,166.64340884278624,173.4613494873047,91070300,0.04327092194962723,,,0.03912119384517965
AAPL,2024-04-12,172.68839280877705,176.7514221146486,172.63885584160187,174.95774841308594,101670900,0.00862669943595007,,,0.04808538006200758
AAPL,2024-04-15,173.77847120218846,175.0370216134587,170.94426424521788,171.13255310058594,73531800,-0.02186353760948323,0.024822931537438832,,0.025170525937072252
AAPL,2024-04-16,170.20103782824683,172.1929047923956,166.75242714722782,167.8524169921875,73711200,-0.019167224756300394,0.027001194501179614,,0.005520852052901759
AAPL,2024-04-17,168.08032842085646,169.11094225529814,166.48484802246094,166.48484802246094,50901200,-0.008147448778114463,0.026725883027358815,,-0.0026715775845252976
AAPL,2024-04-18,166.51456987389489,167.11906901091456,165.0479219314042,165.5334930419922,43122900,-0.00571436375002965,0.012152626805541628,,-0.008370674968450564
AAPL,2024-04-19,164.71101115974596,164.89928490796945,162.60021611822233,163.5119171142578,68149400,-0.012212488787520126,0.006945477383998609,,-0.020480936981774556
AAPL,2024-04-22,164.0272084619306,165.75150603037284,163.28397258003716,164.3443145751953,48116400,0.00509074491711714,0.008931137948852799,,-0.015494455290495202
AAPL,2024-04-23,163.85875133255257,165.54341638804536,163.43262154349364,165.39476013183594,49537800,0.006391736515837909,0.008251749739390446,,-0.009201755250330623
AAPL,2024-04-24,165.03799187966663,167.7731094949557,164.7109814111337,167.49563598632812,48251800,0.012702191126354734,0.010025996360431024,,0.003383553422136476
AAPL,2024-04-25,168.00106471763377,169.07132637527934,166.63350563489078,168.35781860351562,50558300,0.005147493020402516,0.00928897920920361,,0.008548463260163564
AAPL,2024-04-26,168.34790327634968,169.79472746518425,167.65420428921547,167.77313232421875,44838400,-0.003472878682716951,0.005764821460488485,,0.005045896801620486
AAPL,2024-04-29,171.80640930182136,174.44242297655094,171.53885525962073,171.93524169921875,68169400,0.024807961306681614,0.010497010760999485,,0.02997903652091427
AAPL,2024-04-30,171.76676673002254,173.4117990890393,168.46679764398493,168.7938232421875,65934800,-0.01827093983749306,0.016291775421135822,,0.011160351510761668
AAPL,2024-05-01,168.05060587060277,171.1523820898212,167.58484346320657,167.77313232421875,50383100,-0.006046968416043574,0.01599569025957546,,0.005045896801620486
AAPL,2024-05-02,170.95416794412498,171.8559644998941,169.34878317714927,171.469482421875,94214900,0.022031835768036467,0.018779761246933282,,0.02718890293929266
AAPL,2024-05-03,184.96661732338913,185.31346675883958,181.01261238934663,181.7261199951172,163224100,0.059816110880927864,0.030386212675340148,,0.08863134825316799
AAPL,2024-05-06,180.70545548743195,182.53876191493006,178.7928536161005,180.07122802734375,78569700,-0.009106516816723476,0.031810859536940087,0.020895493990983716,0.07871770857308813
AAPL,2024-05-07,181.79550770435065,183.23242749590466,179.68472791941784,180.75497436523438,77305800,0.0037970882154854113,0.02829960047778089,0.02088154809453551,0.08281369487214651
AAPL,2024-05-08,181.20092748758523,181.4189445721307,179.81354466582562,181.0919189453125,45057100,0.0018640957531674829,0.027086880212074955,0.020591451603588138,0.08483216328222931
AAPL,2024-05-09,180.91352883975787,182.99459544718977,180.4675903156434,182.90541076660156,48983000,0.010014206221077737,0.026915049696708306,0.018533833248501625,0.09569589628059538
AAPL,2024-05-10,183.48091883182525,183.66946303777598,180.73218899862087,181.64512634277344,50759500,-0.006890361627608255,0.007882926472515482,0.01860237225975961,0.08814615532133563
AAPL,2024-05-13,184.01683781139602,185.66410172767658,183.20312365696165,184.8503875732422,72044800,0.017645732065611597,0.009182986716611897,0.01801920479709658,0.1073472908263613
AAPL,2024-05-14,186.07091921634225,186.8548647149755,184.8602810891409,185.9915313720703,52393600,0.00617333733409664,0.009148079777215058,0.017174536583112604,0.11418331919863034
AAPL,2024-05-15,186.46787049037354,189.18683240943687,185.9320062923224,188.26397705078125,70400000,0.012218006174512297,0.009216934207937249,0.016938572466413185,0.1277964178721378
AAPL,2024-05-16,189.00821119957226,189.6333810173086,188.2044300863017,188.38304138183594,52845200,0.0006324328898170695,0.009608318873644595,0.016760166856340016,0.12850967341981812
AAPL,2024-05-17,188.0555735439889,189.34559954047234,187.72810435814964,188.41281127929688,41282900,0.00015802854249824527,0.007548726330301327,0.01624918901913701,0.1286880101587038
AAPL,2024-05-20,187.8769693298537,190.44708847543168,187.55941793463836,189.57383728027344,44361300,0.006162139363524943,0.004932635503851802,0.016243512357160667,0.13564314297524138
AAPL,2024-05-21,189.62345487533878,191.2508679069906,189.45476137627725,190.87379455566406,42309400,0.006857260970398071,0.00498017637499427,0.0162424928517875,0.14343054437586567
AAPL,2024-05-22,190.79440205142186,191.3401840301744,188.8097513226368,189.43490600585938,34648500,-0.0075384290083103656,0.005796133885572072,0.016517216484577,0.13481087439115447
