Model,Accuracy,F1 (weighted),Cohen Kappa,Time (s),Sentences
VADER,0.5706713780918727,0.5788433727178195,0.28201226375757504,0.18213391304016113,2264
FinBERT,0.9712897526501767,0.9716060658253798,0.94775826660821,21.152833938598633,2264
